CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Cluster,Hierarchical_Cluster,PCA1,PCA2
51,Female,49,42,52,0,2,-0.45152006255394594,-0.550343622361274
52,Male,33,42,60,0,2,-0.231912151870995,-0.769951533044225
53,Female,31,43,54,0,2,-0.3696282226818284,-0.5782557378306319
54,Male,59,43,60,0,2,-0.20492228966961518,-0.7429616708428451
55,Female,50,43,45,0,2,-0.6166871222001483,-0.331196838312312
56,Male,47,43,41,0,2,-0.7264910775416238,-0.22139288297083654
57,Female,51,44,50,0,2,-0.45244231582192407,-0.44146192028777653
58,Male,69,44,46,0,2,-0.5622462711633995,-0.33165796494630106
59,Female,27,46,51,0,2,-0.37101160258379545,-0.4149331847203857
60,Male,53,46,46,0,2,-0.5082665467606399,-0.27767824054354134
61,Male,70,46,56,0,2,-0.23375665840695112,-0.5521881288972301
62,Male,19,46,55,0,2,-0.26120764724231993,-0.5247371400618612
63,Female,67,47,52,0,2,-0.31657075154704667,-0.4153943113543747
64,Female,54,47,59,0,2,-0.1244138296994646,-0.6075512332019568
65,Male,63,48,51,0,2,-0.3170318781810358,-0.36095346031762604
66,Male,18,48,59,0,2,-0.09742396749808482,-0.580561371000577
67,Female,43,48,50,0,2,-0.3444828670164047,-0.33350247148225715
68,Female,68,48,48,0,2,-0.3993848446871424,-0.2786004938115194
69,Male,19,48,59,0,2,-0.09742396749808482,-0.580561371000577
70,Female,32,48,47,0,2,-0.42683583352251125,-0.2511495049761506
71,Male,70,49,55,0,2,-0.18023806063818043,-0.4437675534577217
72,Female,47,49,42,0,2,-0.5371009154979758,-0.08690469859792632
73,Female,60,50,49,0,2,-0.31795413144901374,-0.25207175824412853
74,Female,60,50,56,0,2,-0.12579720960143168,-0.4442286800917106
75,Male,59,54,47,0,2,-0.2648966603142321,-0.08921033176787141
76,Male,26,54,54,0,2,-0.07273973846665004,-0.2813672536154535
77,Female,45,54,53,0,2,-0.1001907273020189,-0.2539162647800846
78,Male,40,54,48,0,2,-0.23744567147886325,-0.11666132060324028
79,Female,23,54,52,0,2,-0.12764171613738778,-0.22646527594471574
80,Female,49,54,42,0,2,-0.40215160449107645,0.04804461240897296
81,Male,57,54,51,0,2,-0.15509270497275665,-0.19901428710934688
82,Male,38,54,55,0,2,-0.04528874963128115,-0.3088182424508224
83,Male,67,54,41,0,2,-0.42960259332644535,0.07549560124434183
84,Female,46,54,44,0,2,-0.3472496268203387,-0.006857365261764784
85,Female,21,54,57,0,2,0.009613228039456577,-0.3637202201215601
86,Male,48,54,46,0,2,-0.292347649149601,-0.06175934293250253
87,Female,55,57,58,0,2,0.11803380347896503,-0.3102016223527894
88,Female,22,57,55,0,2,0.03568083697285842,-0.22784865584668282
89,Female,34,58,60,0,2,0.19992564335108265,-0.3381137378221473
90,Female,50,58,46,0,2,-0.18438820034408157,0.0462001058730169
91,Female,68,59,55,0,2,0.08966056137561813,-0.1738689314439231
92,Male,18,59,41,0,2,-0.2946532823195461,0.21044491225124112
93,Male,48,60,49,0,2,-0.04805550943521525,0.017826863769669996
94,Female,40,60,40,0,2,-0.2951144089535351,0.26488576328798985
95,Female,32,60,42,0,2,-0.24021243128279735,0.20998378561725212
96,Male,24,60,52,0,2,0.034297457070891366,-0.06452610273643662
97,Female,47,60,47,0,2,-0.102957487105953,0.07272884144040773
98,Female,27,60,50,0,2,-0.02060452059984638,-0.00962412506569888
99,Male,48,61,42,0,2,-0.2132225690814175,0.23697364781863195
100,Male,20,61,49,0,2,-0.021065647233835395,0.04481672597104985
101,Female,23,62,41,0,2,-0.21368369571540655,0.2914144988553807
102,Female,49,62,48,0,2,-0.02152677386782442,0.09925757700779857
103,Male,67,62,59,0,2,0.2804341033212332,-0.202703300181259
104,Male,26,62,55,0,2,0.1706301479797577,-0.09289934483978354
105,Male,49,62,56,0,2,0.19808113681512654,-0.12035033367515241
106,Female,21,62,42,0,2,-0.18623270688003765,0.26396351002001184
107,Female,66,63,50,0,2,0.06036506600429319,0.07134546153844068
108,Male,54,63,46,0,2,-0.049438889337182296,0.18114941687991618
109,Male,68,63,43,0,2,-0.1317918558432889,0.2635023833860228
110,Male,66,63,48,0,2,0.005463088333555443,0.12624743920917844
111,Male,65,63,52,0,2,0.11526704367503092,0.016443483867702946
112,Female,19,63,54,0,2,0.17016902134576867,-0.038458493803034795
113,Female,38,64,42,0,2,-0.13225298247727793,0.31794323442277156
114,Male,19,64,46,0,2,-0.022449027135802442,0.20813927908129604
115,Female,18,65,48,0,2,0.05944281273631515,0.18022716361193813
116,Female,19,65,50,0,2,0.1143447904070529,0.1253251859412004
117,Female,63,65,43,0,2,-0.0778121314405292,0.3174821077887825
118,Female,49,65,59,0,2,0.36140368992537275,-0.12173371357711947
119,Female,51,67,43,0,2,-0.02383240703776948,0.3714618321915422
120,Female,50,67,57,0,2,0.36048143665739474,-0.012852011503621976
121,Male,27,67,56,0,2,0.33303044782202584,0.014598977331746886
122,Female,38,67,40,0,2,-0.10618537354387612,0.45381479869764885
123,Female,40,69,58,0,2,0.44191214989552335,0.013676724063768865
124,Male,39,69,91,1,1,1.347794781462696,-0.892205907503404
125,Female,23,70,29,3,2,-0.32717666412879415,0.836745262490846
126,Female,31,70,77,1,1,0.9904707999689117,-0.48090220160685987
127,Male,43,71,35,0,2,-0.13548086891520103,0.6990291916800125
128,Male,40,71,95,1,1,1.5115784612069312,-0.9480301384421198
129,Male,59,71,11,3,0,-0.794304600964054,1.3578529237288655
130,Male,38,71,75,1,1,0.9625586844995538,-0.39901036173474225
131,Male,47,71,9,3,0,-0.8492065786347918,1.4127549013996032
132,Male,39,71,75,1,1,0.9625586844995538,-0.39901036173474225
133,Female,25,72,34,0,2,-0.13594199554919004,0.7534700427167613
134,Female,31,72,71,1,1,0.8797445913594583,-0.26221654419188695
135,Male,20,73,5,3,0,-0.9050308095735076,1.5765385811438384
136,Female,29,73,88,1,1,1.373401263762109,-0.701893492191778
137,Female,44,73,7,3,0,-0.8501288319027698,1.5216366034731008
138,Male,32,73,73,1,1,0.9616364312315757,-0.2901286596612448
139,Male,19,74,10,3,0,-0.7407860031952833,1.4662734991683741
140,Female,35,74,72,1,1,0.9611753045975867,-0.235687808624496
141,Female,57,75,5,3,0,-0.8510510851707478,1.6305183055465982
142,Male,32,75,93,1,1,1.564635932341713,-0.7851687119658626
143,Female,28,76,40,0,2,0.1367233862685426,0.6967235585100675
144,Female,32,76,87,1,1,1.4269198615308796,-0.5934729167522694
145,Male,25,77,12,3,0,-0.604914438920406,1.492341108101776
146,Male,28,77,97,1,1,1.7284196120859483,-0.8409929429045784
147,Male,48,77,36,3,2,0.053909293128447014,0.8335173760529229
148,Female,32,77,74,1,1,1.0970468688724642,-0.20962019969109422
149,Female,34,78,22,3,0,-0.3034146883653373,1.244821081949467
150,Male,34,78,90,1,1,1.563252552439746,-0.6218461588556164
151,Male,43,78,17,3,0,-0.44066963254218183,1.3820760261263114
152,Male,39,78,88,1,1,1.5083505747690082,-0.5669441811848787
153,Female,44,78,20,3,0,-0.3583166660360751,1.2997230596202045
154,Female,38,78,76,1,1,1.1789387087445815,-0.23753231516045206
155,Female,47,78,16,3,0,-0.4681206213775506,1.40952701496168
156,Female,27,78,89,1,1,1.535801563604377,-0.5943951700202476
157,Male,37,78,1,3,0,-0.8798854539080838,1.8212918474922133
158,Female,30,78,78,1,1,1.2338406864153193,-0.2924342928311898
159,Male,34,78,1,3,0,-0.8798854539080838,1.8212918474922133
160,Female,30,78,73,1,1,1.096585742238475,-0.1551793486543455
161,Female,56,79,35,3,2,0.08043802869583784,0.9149480892910514
162,Female,29,79,83,1,1,1.3980854927935438,-0.4026993748066544
163,Male,19,81,5,3,0,-0.6891119119624687,1.7924574787548773
164,Female,31,81,93,1,1,1.726575105549992,-0.6232295387575835
165,Male,50,85,26,3,0,-0.004681697614202899,1.3239461620176505
166,Female,36,85,75,1,1,1.3404167553188717,-0.021152290915424275
167,Male,42,86,20,3,0,-0.14239776842503624,1.5156419572312434
168,Female,33,86,95,1,1,1.9164263942276292,-0.5431822054214219
169,Female,36,87,27,3,0,0.07674901562392564,1.3504748975850411
170,Male,32,87,63,1,1,1.064984613697205,0.36223929951176187
171,Male,40,87,13,3,0,-0.3075648280712385,1.7347887412802054
172,Male,28,87,75,1,1,1.3943964797216315,0.03282743348733539
173,Male,36,87,10,3,0,-0.3899177945773452,1.8171417077863121
174,Male,36,87,92,1,1,1.8610632899229023,-0.4338393767139355
175,Female,52,88,13,3,0,-0.28057496586985875,1.7617786034815852
176,Female,30,88,86,1,1,1.723347219112069,-0.24214358150034246
177,Male,58,88,15,3,0,-0.225672988199121,1.7068766258108474
178,Male,27,88,69,1,1,1.2566804089107981,0.2245232287009284
179,Male,59,93,14,3,0,-0.11817466602759052,1.8692769256531159
180,Male,35,93,90,1,1,1.9681004854604438,-0.21699822583491854
181,Female,37,97,32,3,0,0.4839025818145686,1.4831185754219953
182,Female,32,97,86,1,1,1.9662559789244876,0.0007651783120763194
183,Male,46,98,15,3,0,0.04422563381467778,1.976775247824646
184,Female,29,98,88,1,1,2.048147818796606,-0.027146937157281444
185,Female,41,99,39,3,0,0.7300392280649104,1.344941377977173
186,Male,30,99,97,1,1,2.322196580516305,-0.2472159744742215
187,Female,54,101,24,3,0,0.372254119937137,1.8106859349104656
188,Male,28,101,68,1,1,1.5800976286933672,0.6028424261542353
189,Female,41,103,17,3,0,0.2340769224923145,2.056822581160808
190,Female,36,103,85,1,1,2.100744163297398,0.1901553403557244
191,Female,34,103,23,3,0,0.3987828555045278,1.8921166481485943
192,Female,32,103,69,1,1,1.661528341931496,0.6293711617216262
193,Male,33,113,8,3,0,0.2569166449877933,2.5737801026929263
194,Female,38,113,91,1,1,2.53534871832341,0.29534802935730975
195,Female,47,120,16,3,0,0.6654535910804033,2.543101227419634
196,Female,35,120,79,1,1,2.3948658877086424,0.813688930791395
197,Female,45,126,28,3,0,1.1568046303131088,2.3756285346034867
198,Male,32,126,74,1,1,2.4195501167400773,1.1128830481765186
199,Male,32,137,18,3,0,1.1791832261745987,2.947026907172354
200,Male,30,137,83,1,1,2.9634975004735757,1.1627126328733772
